Dates,HON,AMZN,GOOG,CVX,COP,FB,MRO,MRK,C,PYPL,CRM,AXP,QCOM,V,GILD,EXC,F,APTV,STZ,EL,SPWR,CO,WMT,HD,NEE,CSX,MCD,SPG,FSLR,NSC,SPX Index,RF,party
7/29/1980,,,,0.001573517,-0.046395291,,0.016897417,0.008160873,,,,0.024176764,,,,0.008583744,0.052732108,,,,,,0.011246049,,0,0.014717826,0.051204243,,,0.009763942,0.007956405,0.024,1
7/30/1980,,,,-0.046742252,-0.051574747,,0.022111522,0,,,,0.013581399,,,,0,0.013930574,,,,,,0,,0,-0.007384779,0,,,0.034961952,-0.001389854,0.024,1
7/31/1980,,,,-0.0166446,-0.035935623,,0.047996612,0.006471236,,,,0.006680276,,,,-0.008583744,0.049463558,,,,,,0.008789977,,-0.009049836,-0.011073367,-0.023973751,,,0,-0.004592054,0.024,1
8/1/1980,,,,-0.013513719,0,,0.010376001,0,,,,0,,,,-0.008658063,-0.017727862,,,,,,-0.017064256,,-0.018349139,-0.003646899,-0.021016535,,,-0.012566251,-0.003787883,0.03,1
8/4/1980,,,,-0.024091977,0.006086027,,0.005140017,0.009702154,,,,-0.006680276,,,,0.008658063,0,,,,,,-0.014947961,,0.004626319,0.014720266,0,,,0.003162076,-0.001899336,0.03,1
8/5/1980,,,,-0.005242959,-0.021445648,,-0.010322529,-0.006457632,,,,-0.013581399,,,,0.008583744,-0.01799652,,,,,,-0.003016594,,-0.009259257,0.036186107,0,,,0,-0.001985769,0.03,1
8/6/1980,,,,0.027635534,0.015359621,,0,-0.009715757,,,,0,,,,-0.008583744,0.004504051,,,,,,0.014992785,,0,0.014095452,0,,,0.009404175,0.006686227,0.03,1
8/7/1980,,,,0.028546652,0.018129224,,0.015436262,0.009715757,,,,0,,,,0,0.022370716,,,,,,0.020036027,,0,0.034344511,0.037346937,,,0.003122651,0.014294709,0.03,1
8/8/1980,,,,-0.006644543,0.005958272,,0.015186143,0.009622269,,,,0.003412681,,,,-0.008658063,-0.008878247,,,,,,0.025346979,,0.004632938,0.003399547,0.03105579,,,0.012393997,0.002511038,0.03,1
8/11/1980,,,,0.006644543,0.011848127,,-0.005036467,0.00639599,,,,0.016848993,,,,0,-0.004443554,,,,,,0.021941809,,-0.009302393,0.006668302,0.042077405,,,-0.003084128,0.009420739,0.03,1
8/12/1980,,,,-0.016689491,-0.005906516,,-0.015263409,-0.009560627,,,,-0.006680276,,,,0,-0.009048915,,,,,,0.026902528,,0.004669455,-0.016901811,-0.002380009,,,-0.006196939,-0.007965605,0.03,1
8/13/1980,,,,-0.008461239,-0.017912834,,-0.015516018,0,,,,-0.006767643,,,,-0.00873368,0.004534693,,,,,,-0.005431844,,0,-0.027510549,-0.019246785,,,-0.006235581,-0.004128391,0.03,1
8/14/1980,,,,0.018506188,0.006012952,,0.005193489,0.007965461,,,,0,,,,0.017391743,0.017836023,,,,,,0.015671761,,0.009259257,0.010417804,0.031875209,,,0.009338851,0.015853549,0.03,1
8/15/1980,,,,0.016534548,0.005958272,,-0.010414091,0.01264288,,,,-0.003401075,,,,0,-0.008878247,,,,,,0.033740681,,0.004590336,0.037360105,-0.027028672,,,0.006177797,0.003745472,0.03,1
8/18/1980,,,,-0.009890005,-0.014991313,,-0.037327867,-0.017443704,,,,-0.006837049,,,,-0.008658063,-0.008957776,,,,,,-0.025729957,,-0.023195385,-0.013433398,-0.017886656,,,-0.015516648,-0.018707141,0.03,1
8/19/1980,,,,-0.006644543,-0.018295242,,-0.033160472,-0.01286679,,,,0,,,,0,-0.004534693,,,,,,-0.023682485,,0,0.023367571,-0.030822932,,,0,-0.006423047,0.03,1
8/20/1980,,,,0.003333106,-0.009264912,,0.016709184,0.009702154,,,,0.010238124,,,,0,0.035566661,,,,,,-0.029852963,,0,0.003321159,0.007585371,,,0.003122651,0.009497981,0.03,1
8/21/1980,,,,0.009912121,0.006199092,,0.037951802,0.022183482,,,,0.006767643,,,,-0.044451763,-0.00434633,,,,,,0.029852963,,0.027779358,0.003215741,0.010856057,,,0,0.013561978,0.03,1
8/22/1980,,,,-0.01158261,0.065695372,,-0.016081892,-0.004732888,,,,0,,,,-0.018349139,-0.026685638,,,,,,0.026338529,,-0.004583973,0.016297073,0.014839514,,,0.021589718,0.004453642,0.03,1
